date,close,volume,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,rolling_volume_mean,rolling_volume_std,volume_ratio_20d,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol
2026-07-23 02:30:00,65744.14,6.02567,-2.8442790672711382e-05,-2.844319517655217e-05,,,,7.461469999999999,6.275453074551669,0.8075714302945667,-8.05401,0.0007016171882742398,1.8699999999953434,3.9250000000029104,0.0,,BTCUSDT
2026-07-23 02:31:00,65750.0,12.58883,8.913341934357888e-05,8.912944719638923e-05,,,,8.74331,5.7294557044859555,1.4398242770758443,4.53482,0.0014514587183414183,5.860000000000582,4.570000000002135,42.74252370530887,,BTCUSDT
2026-07-23 02:32:00,65796.81,14.61356,0.0007119391634979877,0.0007116858550314083,,,,9.917359999999999,5.613551818122819,1.4735332790178033,19.14838,0.005852148741698636,46.80999999999767,15.130000000001019,87.02908129543079,,BTCUSDT
2026-07-23 02:33:00,65804.32,22.76752,0.0001141392721015766,0.00011413275871047641,0.0007958694482099737,,,12.059053333333333,7.261588890598715,1.888002264412132,41.9159,0.005083835116951062,7.510000000009313,13.606000000002677,88.46097310009661,,BTCUSDT
2026-07-23 02:34:00,65823.62,1.57431,0.00029329381414444633,0.00029325081192172375,0.0011804518631624017,,,10.561232857142857,7.723114069617502,0.14906498334948182,43.49021,0.004629461597622864,19.29999999998836,14.555000000000291,91.01110729416504,,BTCUSDT
2026-07-23 02:35:00,65827.95,1.05909,6.578185763705946e-05,6.57796941055426e-05,0.0012747904223859852,,,9.373465,7.900120474775776,0.11298809991822663,44.549299999999995,0.004282774039894444,4.330000000001746,13.094285714286213,91.4357407811417,,BTCUSDT
2026-07-23 02:36:00,65800.29,6.06355,-0.0004201862582687843,-0.00042027456125126947,0.0007648669201520963,,,9.005696666666667,7.47179345937105,0.6733016028003016,38.485749999999996,0.005148616910171111,27.660000000003492,14.915000000000873,70.23969158564597,,BTCUSDT
2026-07-23 02:37:00,65768.65,4.44907,-0.00048084894458666483,-0.0004809645895137332,-0.0004279842746176543,,,8.550034,7.190334113064103,0.5203569950715985,34.03668,0.005690159944830307,31.639999999999418,16.773333333334044,55.518018018014125,,BTCUSDT
2026-07-23 02:38:00,65754.17,3.60451,-0.0002201656868431323,-0.00022018992686591,-0.0007621080196560381,3.315489006472383e-05,2.179999999993015,8.100440909090908,6.982427057482885,0.4449770130357663,30.432169999999996,0.005507715888648189,14.479999999995925,16.54400000000023,50.65884912959169,,BTCUSDT
2026-07-23 02:39:00,65768.96,1.35662,0.00022492870033952173,0.00022490340767203031,-0.0008304010019501984,0.0003490706128024268,22.95000000001164,7.538455833333334,6.936281882445061,0.17995993211253364,31.788789999999995,0.005331605036822863,14.790000000008149,16.38454545454641,54.70787327304006,,BTCUSDT
2026-07-23 02:40:00,65756.01,5.23943,-0.00019690139543049323,-0.00019692078305526313,-0.001092848858273765,0.00018054841085457518,11.869999999995343,7.361607692307692,6.671525382909262,0.7117236097048198,26.549359999999997,0.005182860848858837,12.950000000011642,16.098333333335177,51.04048038098899,,BTCUSDT
2026-07-23 02:41:00,65761.8,5.14164,8.805278787460402e-05,8.804891145542911e-05,-0.0005849518292395661,0.0001794676806083917,11.80000000000291,7.203038571428571,6.437195097766223,0.7138154195640054,31.690999999999995,0.00497561968171837,5.790000000008149,15.305384615386943,52.465195758153534,,BTCUSDT
2026-07-23 02:42:00,65759.27,3.24462,-3.84721829390644e-05,-3.847292301247601e-05,-0.00014262114244389945,-0.0005705443774552954,-37.5399999999936,6.939144,6.286673671126886,0.46758216863636204,28.446379999999994,0.0047851239089713405,2.529999999998836,14.392857142859222,51.80645161290267,,BTCUSDT
2026-07-23 02:43:00,65768.51,2.40726,0.00014051250873059473,0.00014050263777269105,0.00021808502791520468,-0.0005441891960894507,-35.810000000012224,6.65590125,6.178274145012639,0.3616730341364364,30.853639999999995,0.0046429628020374265,9.239999999990687,14.62571428571495,55.49423715569422,,BTCUSDT
2026-07-23 02:44:00,65780.0,1.47241,0.00017470366897476275,0.00017468841006595184,0.00016786034019689033,-0.0006626800531480681,-43.61999999999534,6.35099,6.112764042898269,0.23183944550377183,32.326049999999995,0.004529097914269649,11.490000000005239,15.312857142858515,58.36365332586934,,BTCUSDT
2026-07-23 02:45:00,65825.17,15.47607,0.0006866828823350879,0.0006864472235203868,0.001051766979170532,-4.2231301445649905e-05,-2.779999999998836,6.857938888888889,6.308235903986142,2.256664903368278,47.802119999999995,0.005068363479375905,45.169999999998254,18.12071428571549,64.81532579131878,,BTCUSDT
2026-07-23 02:46:00,65804.61,2.57912,-0.00031234252794176687,-0.000312391317028683,0.0006509858306797955,6.565320608786784e-05,4.320000000006985,6.632737894736842,6.208596104336648,0.3888469649986566,45.22299999999999,0.0051162248026608076,20.55999999999767,16.24571428571549,51.71473795286721,,BTCUSDT
2026-07-23 02:47:00,65762.04,4.78923,-0.0006469151629346914,-0.0006471245028370156,4.212333865605267e-05,-0.00010050381146642362,-6.610000000000582,6.5405625,6.057047117341371,0.732235186193848,40.433769999999996,0.005573322471250254,42.570000000006985,18.75000000000104,41.94666666666456,,BTCUSDT
2026-07-23 02:48:00,65788.0,3.08985,0.0003947566103486011,0.0003946787144571653,0.0002963424289224026,0.0005144920846844592,33.830000000001746,5.978535,5.812766920269916,0.516823937636896,43.523619999999994,0.005595605782578439,25.960000000006403,19.225714285716613,43.38311784812175,,BTCUSDT
2026-07-23 02:49:00,65792.01,4.48889,6.095336535527629e-05,6.095150777438571e-05,0.0001825782912738827,0.00035046927912474324,23.04999999998836,6.1015625,5.750465484550725,0.7356951600512164,48.01250999999999,0.005578935964155395,4.009999999994761,19.20285714285897,43.31572682636533,,BTCUSDT
2026-07-23 02:50:00,65784.23,13.58763,-0.00011825144117039166,-0.00011825843342329585,-0.0006219505395884672,0.00042916229254186256,28.220000000001164,6.4796605,5.988873444199383,2.0969663456904883,34.42487999999999,0.005601550151808777,7.779999999998836,17.78285714285864,46.77458226221153,,BTCUSDT
2026-07-23 02:51:00,65818.0,1.51102,0.0005133449156431436,0.0005132131992173125,0.00020348118467694576,0.0008545994787247935,56.19999999999709,5.92577,5.905818006538797,0.25499133445948796,35.93589999999999,0.005856973906857077,33.770000000004075,17.93500000000183,59.82715361025942,,BTCUSDT
