date,close,volume,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,rolling_volume_mean,rolling_volume_std,volume_ratio_20d,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol,anomaly_score,is_flagged,is_flagged_lof,detector_agreement
2026-07-23 03:13:00,65627.99,12.07317,1.2910004502788992,0.0004232321756813,-0.0011366356953225,-0.0023867142965721,-157.00999999999476,19.9138295,31.57067297489112,0.6062706321754939,-63.06210000000001,3.052893377302519,27.770000000004075,29.096428571427943,28.231250767154165,-36.58334054159059,BTCUSDT,0.6467977778401225,1,1,1.0
2026-07-23 03:14:00,65633.99,1.43826,0.482179609980848,9.14202270021415e-05,-0.0018404681255465,-0.0016889489593356,-111.0399999999936,18.8623615,31.830268260352323,0.0762502616652745,-61.62384000000001,2.141173627307095,6.0,29.287142857142108,29.51075557289964,-39.05794442888873,BTCUSDT,0.6269775418575422,1,0,0.0
2026-07-23 03:15:00,65624.01,7.42423,-0.07646027023648103,-0.0001520669219284,-0.0013089327928983,-0.0012175816970684,-80.0,17.919849,31.87828689207385,0.4143020401566999,-69.04807000000001,1.7260722563265352,9.980000000010476,29.285000000000373,29.51291494914473,-41.34775722459017,BTCUSDT,0.6185505975023436,0,0,0.0
2026-07-23 03:16:00,65620.0,5.14623,0.13368459066496202,-6.110755075587444e-05,-0.0005420711321,-0.0017038885170084,-112.0,17.9131115,31.88111283236837,0.2872884479058817,-74.19430000000001,1.5087191410206533,4.009999999994761,29.078571428571845,28.027511667895908,-42.99045662608114,BTCUSDT,0.6202268762515353,0,1,0.0
2026-07-23 03:17:00,65630.01,1.60831,0.6316208155183874,0.0001525333220072,0.0004541143307139,-0.0012654997468544,-83.16000000000349,17.908244,31.88372489230226,0.0898083586531432,-72.58599000000001,1.3729770008701245,10.00999999999476,28.800714285714744,30.78048659507418,-42.98903357452946,BTCUSDT,0.6202268762515353,0,0,0.0
2026-07-23 03:18:00,65618.34,5.02521,-0.1700234358278932,-0.0001778308074845,-0.0001470409195833,-0.0012835094829479,-84.33000000000175,18.0979835,31.79040659436449,0.2776668461433839,-77.61120000000001,1.192953906399643,11.669999999998254,26.779285714285965,33.10394494678708,-43.42895530251553,BTCUSDT,0.6168788492089458,0,0,0.0
2026-07-23 03:19:00,65621.17,2.63368,0.3683026977322317,4.312725642511348e-05,-0.0001953256232023,-0.0020354342581652,-133.8399999999965,17.599328,31.958844758612944,0.149646622871055,-74.97752000000001,1.1647182942989351,2.8300000000017462,24.05142857142865,37.69897837966319,-43.05295146771823,BTCUSDT,0.6219076977341045,0,1,0.0
2026-07-23 03:20:00,65643.4,2.63676,1.0889651511860141,0.0003387052608714,0.0002954711240596,-0.0010138484206824,-66.6200000000099,17.4881955,32.00930237294851,0.1507737033246226,-72.34076000000002,1.4113585563440738,22.229999999995925,23.639999999999414,36.61469664007614,-40.494396309775766,BTCUSDT,0.6143796945978858,0,0,0.0
2026-07-23 03:21:00,65663.35,16.97545,0.9616826029986942,0.0003038686153381,0.000660621761658,0.0001181925255717,7.760000000009313,18.204089,31.81970509260457,0.9325075261937028,-55.36531000000002,1.56264970048438,19.95000000001164,23.720000000000123,42.498795470972034,-36.43690270955267,BTCUSDT,0.6040750675609118,0,0,0.0
2026-07-23 03:22:00,65662.06,2.53593,0.13387731666393923,-1.964585528494017e-05,0.0004883436708298,0.000942679765403,61.83999999999651,18.241602,31.799766294169785,0.1390190401040434,-57.90124000000002,1.4274853399975174,1.290000000008149,23.062142857143563,43.71109115123744,-32.945625356573146,BTCUSDT,0.6048930387121609,0,0,0.0
