timestamp,close,volume,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,rolling_volume_mean,rolling_volume_std,volume_ratio_20d,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol
2025-08-20,225.975,1167075.0,-0.019886363636363646,-0.020086758566737344,-0.031065088757396442,0.059547532528425595,12.699999999999989,1396258.4,614977.0807754503,0.835858892594666,634811.0,0.3082876328681942,4.585000000000008,3.4889285714285694,68.55358788002867,5.356464664427165,AAPL
2025-08-21,224.9,772469.0,-0.004757163403031228,-0.004768514719204544,-0.03385170547297878,0.02148339919153397,4.730000000000018,1386192.75,623839.5520990512,0.5572594431762826,-137658.0,0.3089820996623367,1.0749999999999886,3.1692857142857127,75.4676583276989,4.901519827205192,AAPL
2025-08-22,227.74,1273052.0,0.012627834593152532,0.012548768417188964,-0.016878912151953362,-0.0070847775379853095,-1.625,1413405.6,605247.1523010815,0.9006982850499531,1135394.0,0.31086622119050294,2.8400000000000034,3.2971428571428567,76.41897746967074,4.715776495168541,AAPL
2025-08-25,227.15,762910.0,-0.002590673575129543,-0.0025940351770466466,-0.01621949370926179,-0.00030807147258160583,-0.06999999999999318,1405586.05,612928.280111009,0.5427700424317672,372484.0,0.3113916408647425,0.5900000000000034,3.309285714285715,76.13857112022447,4.469444522830173,AAPL
2025-08-26,229.3,923026.0,0.009465111160026352,0.009420597658446389,-0.005464954892435814,-0.0014370944562992483,-0.3299999999999841,1396342.55,619017.7467390087,0.6610312061320484,1295510.0,0.3062690375811273,2.1500000000000057,2.723928571428573,71.01088239150386,4.397025518601225,AAPL
2025-08-27,230.5,952676.0,0.005233318796336706,0.005219672572844481,0.020024338975550338,-0.01166280764942973,-2.719999999999999,1402535.9,613636.9134880556,0.6792524882963781,2248186.0,0.30094971996789416,1.1999999999999886,2.317142857142859,65.92170160295932,4.385904925332369,AAPL
2025-08-28,232.595,1159353.0,0.009088937093275407,0.009047881286119157,0.03421520675855927,-0.0007947418163072317,-0.18500000000000227,1378855.65,613415.0936051873,0.8408081005433745,3407539.0,0.29868361819746836,2.094999999999999,1.8100000000000003,56.37332280978688,4.494332894419927,AAPL
2025-08-29,232.27,1208045.0,-0.0013972785313527414,-0.0013982556352968019,0.019891103890401274,0.002676451543276448,0.6200000000000045,1339542.95,596868.1180990511,0.901833718732199,2199494.0,0.2746992307812621,0.32499999999998863,1.6799999999999986,60.7355442176871,4.502140187643306,AAPL
2025-09-02,229.69,1246862.0,-0.011107762517759578,-0.01116991438586252,0.011182038300682429,-0.00521882240845406,-1.2050000000000125,1308114.35,583565.9373163616,0.9531750798391593,952632.0,0.28216939455688944,2.5800000000000125,1.692142857142857,50.12663571127058,4.251138606121515,AAPL
2025-09-03,238.485,1989098.0,0.038290739692629305,0.03757584156711905,0.04005669428696024,0.034372831367106116,7.925000000000011,1359138.25,596782.9725939675,1.4634993901466609,2941730.0,0.30204665958583254,8.795000000000016,2.0639285714285722,59.11057276345391,4.707634362979121,AAPL
2025-09-04,239.71,1423459.0,0.005136591399878432,0.005123444116536683,0.0399566160520608,0.06078105985175353,13.735000000000014,1321202.85,564979.1498376663,1.0773962529675136,4365189.0,0.2564790521464572,1.2249999999999943,2.1200000000000006,61.6745283018868,5.109360276608555,AAPL
2025-09-05,239.67,2004733.0,-0.0001668682991949888,-0.00016688222325863833,0.030417678797910463,0.06567363272565574,14.769999999999982,1296001.7,518553.472750588,1.5468598536560563,2360456.0,0.2374351545927166,0.040000000000020464,2.0421428571428595,64.02588317593559,5.362685590402435,AAPL
2025-09-08,237.9,1553530.0,-0.007385154587557841,-0.007412559853148201,0.024239032160847218,0.04461227715816274,10.159999999999997,1232146.05,379660.6797231438,1.2608326748277934,806926.0,0.1950485699681446,1.7699999999999818,2.1146428571428584,61.830771829082906,5.3588500318033425,AAPL
2025-09-09,234.35,2133357.0,-0.014922236233711694,-0.015034692940196914,0.02028821455004559,0.0316971164428792,7.199999999999989,1253046.35,417300.8573100626,1.7025363826326136,-1326431.0,0.20024336594166744,3.5500000000000114,2.3442857142857156,55.77391834247408,5.01158456530203,AAPL
2025-09-10,226.81,2755480.0,-0.03217409857051412,-0.032703061776370584,-0.04895486089271861,-0.01085913650239867,-2.490000000000009,1328292.85,535710.0566128419,2.07445218123398,-4081911.0,0.2301319838444371,7.539999999999992,2.5553571428571433,51.16701607267646,4.08091692556107,AAPL
2025-09-11,229.99,1333481.0,0.014020545831312514,0.013923167124774314,-0.04054899670435108,-0.00221258134490232,-0.5099999999999909,1315624.1,532258.4502900329,1.0135729499026356,-2748430.0,0.2286969672360394,3.180000000000007,2.7057142857142873,56.718585005279834,3.55893040524478,AAPL
2025-09-12,234.04,1768033.0,0.01760946128092522,0.01745621120291649,-0.02349063295364462,0.006212515316322387,1.4449999999999932,1355413.8,534975.5617425411,1.304423047780685,-980397.0,0.23754054183107948,4.049999999999983,2.7921428571428573,58.05832693783574,3.432485918897328,AAPL
2025-09-15,236.745,1528759.0,0.011557853358400427,0.01149157159895473,-0.00485498108448934,0.01926637103371065,4.474999999999994,1378979.25,531528.9616881192,1.1086163914359117,548362.0,0.2398799210522248,2.7050000000000125,2.9432142857142867,61.64300448974638,3.510086553025161,AAPL
2025-09-16,238.14,1451954.0,0.005892415890514924,0.00587512350403889,0.01617239172178353,0.03678871522486826,8.449999999999989,1409749.7,516062.60798535106,1.0299374420863505,2000316.0,0.23982484588508174,1.3949999999999818,2.8892857142857133,60.92707045735473,3.6421658355694717,AAPL
2025-09-17,238.98,1210638.0,0.003527336860670305,0.0035211303985789606,0.05365724615316769,0.0020756022391343887,0.4949999999999761,1430899.5,497561.0456981768,0.846067805600603,3210954.0,0.23962090622155743,0.8400000000000034,2.863571428571429,60.57620354203041,3.771149138582018,AAPL
2025-09-18,237.87,1384022.0,-0.004644740145618775,-0.004655560469190539,0.03426235923301002,-0.007675941762963601,-1.8400000000000034,1441746.85,493857.73163909576,0.9599618684791993,1826932.0,0.2270146846928731,1.1099999999999852,2.793214285714285,56.74466180795295,3.7406813658587055,AAPL
2025-09-19,245.32,1851825.0,0.03131962836843649,0.030839174805365716,0.048196889420611955,0.02357408102808023,5.650000000000006,1495714.65,475504.96719772875,1.2380870910103075,3678757.0,0.24664126368123235,7.449999999999989,3.3021428571428566,64.11421155094092,4.268483750581396,AAPL
2025-09-22,256.12,3191331.0,0.04402413174629061,0.043082603892818504,0.08183910959048757,0.07658680117696504,18.22,1591628.6,604262.9672129422,2.005072665821662,6870088.0,0.28292568942305085,10.800000000000011,3.8892857142857133,74.26997245179065,5.494898909545526,AAPL
