timestamp,close,volume,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,rolling_volume_mean,rolling_volume_std,volume_ratio_20d,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol,anomaly_score,is_flagged,is_flagged_lof,detector_agreement
2025-09-18,237.87,1384022.0,-0.4337859137201231,-0.0046555604691905,0.03426235923301,-0.0076759417629636,-1.8400000000000036,1441746.85,493857.73163909576,0.9599618684791992,1826932.0,-0.9829847632037806,1.1099999999999852,2.793214285714285,56.74466180795295,3.7406813658587055,AAPL,0.5847721774535569,0,0,0.0
2025-09-19,245.32,1851825.0,2.011154082200745,0.0308391748053657,0.0481968894206119,0.0235740810280802,5.650000000000006,1495714.65,475504.9671977288,1.2380870910103077,3678757.0,-0.43525504585258,7.449999999999989,3.3021428571428566,64.11421155094092,4.268483750581396,AAPL,0.5899382988589509,0,0,0.0
2025-09-22,256.12,3191331.0,2.607282328953616,0.0430826038928185,0.0818391095904875,0.076586801176965,18.22,1591628.6,604262.9672129422,2.005072665821662,6870088.0,0.5243920084950434,10.800000000000011,3.889285714285713,74.26997245179065,5.494898909545526,AAPL,0.6028501843183424,0,0,0.0
2025-09-23,254.45,1817392.0,-0.6385389864662253,-0.0065417316157598,0.0684891240446796,0.0857691487091956,20.099999999999994,1644352.7,573362.1487025912,1.105232472327865,5052696.0,0.5614346132101883,1.670000000000016,3.380357142857142,66.86740623349179,6.2599261832690445,AAPL,0.5855640107817249,0,0,0.0
2025-09-24,252.22,1506113.0,-0.7492791270727643,-0.0088026305071132,0.0554021257008954,0.1120320973502049,25.41,1673507.05,549063.1926902472,0.89997409930242,3546583.0,0.6609304596255997,2.2299999999999898,3.452142857142856,62.94227188081936,6.610076597915452,AAPL,0.5871508955273356,0,0,0.0
2025-09-25,256.91,1667057.0,0.8629890614746758,0.0184241064825306,0.080043721360407,0.1170485673290144,26.920000000000016,1709226.1,522285.6947374277,0.9753285419641088,5213640.0,0.7529198545058318,4.690000000000026,3.784285714285714,66.27029067572673,7.183213514257602,AAPL,0.5879459498504855,0,0,0.0
2025-09-26,255.45,1360873.0,-0.5838513153314523,-0.0056991332334522,0.0412930050546225,0.0914800888736968,21.41,1719302.1,512980.12335945707,0.79152639899643,3852767.0,0.795385883149377,1.4600000000000364,3.76214285714286,66.66033795329406,7.433925189291983,AAPL,0.5851679601817475,0,0,0.0
2025-09-29,254.37,977267.0,-0.483502134928514,-0.0042367957927855,-0.0068327346556301,0.0744471900145726,17.625,1707763.2,527476.2591486286,0.5722497123723008,2875500.0,0.7985452854454859,1.079999999999984,3.5857142857142867,69.9402390438247,7.459480772987945,AAPL,0.586356916322361,0,0,0.0
2025-09-30,254.56,1057345.0,-0.17427811749111827,0.0007466646054553,0.0004323049715071,0.0689510372050055,16.420000000000016,1698287.35,537793.29620455,0.6225948747719283,3932845.0,0.6228204949365758,0.1899999999999977,3.0607142857142877,82.38039673278878,7.4096513212057,AAPL,0.586356916322361,0,0,0.0
2025-10-01,255.43,1082404.0,-0.00800184327038738,0.0034118349141929,0.0127269843787169,0.0688342120679554,16.450000000000017,1652952.65,550064.4806977558,0.6548306147789533,5015249.0,-0.16681077594340424,0.8700000000000045,2.8957142857142872,81.37641835224468,7.355572390935237,AAPL,0.5851679601817475,0,0,0.0
2025-10-02,257.43,1097559.0,0.26662481355158835,0.0077994389834697,0.0020240551165777,0.0822297893807542,19.56,1636657.65,561920.2020586265,0.6706100081467863,6112808.0,-0.1529217356492422,2.0,2.7492857142857168,80.38451545856066,7.388922831424907,AAPL,0.586356916322361,0,0,0.0
2025-10-03,258.04,1483654.0,-0.08297438209713776,0.0023667731769017,0.010138970444314,0.0518506440567423,12.720000000000027,1610603.7,556004.8486902456,0.9211788101567132,7596462.0,-0.16040678445642298,0.6100000000000136,2.59964285714286,79.25539222420662,7.379508813786629,AAPL,0.5831917216369561,0,0,0.0
2025-10-06,256.65,1245721.0,-0.5799551190879267,-0.0054013226577289,0.0089633211463615,0.002069342495705,0.5299999999999727,1595213.25,561896.745622302,0.7809118937546438,6350741.0,-0.18865383969601052,1.3900000000000432,2.5992857142857213,75.43281121187131,7.177153001519741,AAPL,0.5835864346885462,0,0,0.0
2025-10-07,256.48,1662715.0,-0.26166412738000705,-0.0006626001450691,0.0075424261470773,0.0079779917469051,2.0300000000000296,1571681.15,547852.9238888917,1.0579213220187824,4688026.0,-0.45299019807332014,0.169999999999959,2.551428571428576,74.49608062709967,6.923259952005566,AAPL,0.5839814148879495,0,0,0.0
2025-10-08,258.02,866667.0,0.18145913439929745,0.0059864124357475,0.0101397643189913,0.0229957973198,5.799999999999983,1477240.5,493110.3327509339,0.5866796909507964,5554693.0,-1.683791246339617,1.5399999999999636,2.5821428571428595,77.86998616874129,6.768292349656804,AAPL,0.5843766624159757,0,0,0.0
2025-10-09,254.03,893881.0,-1.2557138823844125,-0.0155847310166982,-0.0132074738763936,-0.0112101514148924,-2.880000000000024,1455260.5,509384.4225837692,0.6142412303501675,4660812.0,-1.2472107358983195,3.9899999999999807,2.3350000000000017,63.32211685530744,6.251456850954412,AAPL,0.5855640107817249,0,0,0.0
2025-10-10,245.295,1586214.0,-2.4665132230489486,-0.0349908024278287,-0.049391567198884,-0.0397533763945977,-10.155,1446169.55,505113.1496176689,1.0968381957703368,3074598.0,-0.17860197092148955,8.735000000000014,2.187500000000002,32.32653061224488,5.078477963356221,AAPL,0.5907371275731237,0,0,0.0
2025-10-13,247.54,878932.0,0.4572934199264006,0.0091106172594126,-0.0354958114163256,-0.0268506506270393,-6.8300000000000125,1413678.2,520195.8259206057,0.6217341400610125,3953530.0,-0.20549828265630604,2.2450000000000045,2.22857142857143,38.92628205128207,4.280691336738187,AAPL,0.5855640107817249,0,0,0.0
2025-10-14,247.96,864087.0,-0.018714745294187204,0.0016952577218423,-0.0332189644416719,-0.0259270898805782,-6.599999999999994,1384284.85,534335.6090346684,0.6242118448381487,4817617.0,-0.21283394380330906,0.4200000000000159,2.0992857142857173,42.75263695134402,3.6403663006501006,AAPL,0.5839814148879495,0,0,0.0
2025-10-15,249.405,1113159.0,0.2447765825228914,0.0058106383267338,-0.0333888845825903,-0.0235876756841404,-6.025000000000006,1379410.9,536443.316710202,0.8069814440352763,5930776.0,-0.20104460461839865,1.4449999999999932,1.8675000000000008,35.647351310001866,3.212472140744609,AAPL,0.5855640107817249,0,0,0.0
2025-10-16,247.45,1099909.0,-0.6400527629528919,-0.0078695397625574,-0.0259024524662442,-0.0387678203783553,-9.980000000000018,1365205.25,540064.3845067164,0.8056729931268577,4830867.0,-0.15555333707542784,1.9550000000000125,1.902857142857142,34.984984984984976,2.68466364348825,AAPL,0.5859603294347885,0,0,0.0
2025-10-17,252.34,1549814.0,1.1648979680353584,0.0195688431017001,0.0287205201899753,-0.0220895985118586,-5.700000000000017,1350104.7,529868.0235939691,1.1479213426929038,6380681.0,-0.6080011357177043,4.890000000000015,2.175000000000001,46.66666666666666,2.6306294801849504,AAPL,0.5867537716259872,0,0,0.0
