date,return,log_return,rolling_return_5d,rolling_return_10d,price_momentum,volume_ratio_20d,rolling_volume_mean,rolling_volume_std,obv,volatility_20d,true_range,atr_14d,rsi_14d,macd,symbol,is_pump_and_dump,is_wash_trading,is_spoofing,is_layering,is_manipulation,attribution_confidence,detector_agreement,label_confidence,centroid_distance,evidence_json,used_in_training
2025-08-18,-0.5976114908571739,-0.0098569264381108,-0.0012028160045282,0.0674102079395084,53.49000000000001,0.925264854866816,252621.291915,116941.572828215,881076.7513999998,-2.374679659826033,8.389999999999986,11.91428571428572,73.48920863309351,26.62556920631721,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-19,-1.4602235648901167,-0.0273848720614971,-0.019406963185074,0.0316462826884318,25.279999999999973,0.8654466781778949,244731.456415,113917.97548098429,669274.7253999999,-1.6452865639336456,22.879999999999995,12.584285714285718,69.57656941764105,24.568791384019164,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-20,2.7176948670798926,0.05309664486407,0.0498181949964364,0.0765962191224201,61.82999999999993,1.5839202069696017,247588.14224,116976.73821325292,1061434.5869,-0.1133548906244561,44.93999999999994,14.764285714285718,74.06869859700048,26.26232680661724,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-21,-1.619376188209918,-0.034606096415133,0.0009299996423077,0.0427281421952825,34.39999999999998,1.1492967921587338,241791.04814,112119.88618208666,783544.9109,-0.0771592565633186,29.559999999999945,15.51,61.70212765957448,24.93182234504457,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-22,3.0581918571006934,0.0698335048452998,0.052409455446702,0.081372301704566,67.74000000000001,1.7038169522226887,252869.025125,119445.15740284746,1214387.4426,1.5523781823314318,60.72000000000003,19.502142857142854,69.54180859246237,28.44904167178913,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-23,-0.961219783751374,-0.0222290030985327,0.0394691790930235,0.0382188889281964,32.40999999999997,0.8168677980234886,256197.970475,117118.28078090258,1005107.5706,1.8877434543060747,19.79000000000008,20.535,64.19005878465336,29.301802777679768,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-24,-0.2729871861196321,-0.0044509530317957,0.0635837448884251,0.0429428143071322,36.09000000000003,1.104522249180098,262097.316025,115589.28643744152,715615.2535999999,1.6868675910108264,3.909999999999968,20.215,62.24161690399632,29.324087942948267,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-25,-1.7084366136255489,-0.0433560731228329,-0.0342097692883032,0.0139041567509454,11.510000000000105,1.1910337352961544,269152.875775,114581.87975297662,395045.0985999999,2.3764492955922867,37.18999999999994,22.71928571428571,55.38089099883674,26.04064654316778,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-26,1.02935669917748,0.0286334460997457,0.0288389379265983,0.0297957577708622,24.99000000000001,0.7198851653547691,270712.744725,113275.41846504668,589927.1876,2.267079123066968,24.379999999999995,22.504999999999995,54.95604151458407,25.116233520055744,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
2025-08-27,-0.4344925740606896,-0.0099135131912453,-0.0500216616122906,-0.0002338142112278,-0.2000000000000454,0.5045087856439536,268069.577475,115890.95319607473,454683.7306,1.9925292383218796,8.520000000000095,22.00357142857144,51.163772114916405,23.42609529944013,BNBUSDT,0,0,0,0,0,0.0,0.0,0.0,0.0,[],True
